REF_DATE,GEO,Employment size,North American Industry Classification System (NAICS),VALUE
2025-07-01 00:00:00.000,"British Columbia","Total, with employees","Pharmaceutical and medicine manufacturing [3254]",67
2025-07-01 00:00:00.000,"British Columbia","Total, with employees","Medical equipment and supplies manufacturing [3391]",250
2025-07-01 00:00:00.000,"British Columbia","Total, with employees","Medical and diagnostic laboratories [6215]",432
2025-07-01 00:00:00.000,"British Columbia","Total, with employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",78
2025-07-01 00:00:00.000,"British Columbia","Total, with employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",209
2025-07-01 00:00:00.000,"British Columbia","1 to 4 employees","Pharmaceutical and medicine manufacturing [3254]",26
2025-07-01 00:00:00.000,"British Columbia","1 to 4 employees","Medical equipment and supplies manufacturing [3391]",122
2025-07-01 00:00:00.000,"British Columbia","1 to 4 employees","Medical and diagnostic laboratories [6215]",185
2025-07-01 00:00:00.000,"British Columbia","1 to 4 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",28
2025-07-01 00:00:00.000,"British Columbia","1 to 4 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",98
2025-07-01 00:00:00.000,"British Columbia","5 to 9 employees","Pharmaceutical and medicine manufacturing [3254]",10
2025-07-01 00:00:00.000,"British Columbia","5 to 9 employees","Medical equipment and supplies manufacturing [3391]",50
2025-07-01 00:00:00.000,"British Columbia","5 to 9 employees","Medical and diagnostic laboratories [6215]",110
2025-07-01 00:00:00.000,"British Columbia","5 to 9 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",20
2025-07-01 00:00:00.000,"British Columbia","5 to 9 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",37
2025-07-01 00:00:00.000,"British Columbia","10 to 19 employees","Pharmaceutical and medicine manufacturing [3254]",13
2025-07-01 00:00:00.000,"British Columbia","10 to 19 employees","Medical equipment and supplies manufacturing [3391]",40
2025-07-01 00:00:00.000,"British Columbia","10 to 19 employees","Medical and diagnostic laboratories [6215]",83
2025-07-01 00:00:00.000,"British Columbia","10 to 19 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",12
2025-07-01 00:00:00.000,"British Columbia","10 to 19 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",42
2025-07-01 00:00:00.000,"British Columbia","20 to 49 employees","Pharmaceutical and medicine manufacturing [3254]",6
2025-07-01 00:00:00.000,"British Columbia","20 to 49 employees","Medical equipment and supplies manufacturing [3391]",27
2025-07-01 00:00:00.000,"British Columbia","20 to 49 employees","Medical and diagnostic laboratories [6215]",27
2025-07-01 00:00:00.000,"British Columbia","20 to 49 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",11
2025-07-01 00:00:00.000,"British Columbia","20 to 49 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",17
2025-07-01 00:00:00.000,"British Columbia","50 to 99 employees","Pharmaceutical and medicine manufacturing [3254]",6
2025-07-01 00:00:00.000,"British Columbia","50 to 99 employees","Medical equipment and supplies manufacturing [3391]",8
2025-07-01 00:00:00.000,"British Columbia","50 to 99 employees","Medical and diagnostic laboratories [6215]",24
2025-07-01 00:00:00.000,"British Columbia","50 to 99 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",3
2025-07-01 00:00:00.000,"British Columbia","50 to 99 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",12
2025-07-01 00:00:00.000,"British Columbia","100 to 199 employees","Pharmaceutical and medicine manufacturing [3254]",2
2025-07-01 00:00:00.000,"British Columbia","100 to 199 employees","Medical equipment and supplies manufacturing [3391]",3
2025-07-01 00:00:00.000,"British Columbia","100 to 199 employees","Medical and diagnostic laboratories [6215]",3
2025-07-01 00:00:00.000,"British Columbia","100 to 199 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",3
2025-07-01 00:00:00.000,"British Columbia","100 to 199 employees","Professional machinery, equipment and supplies merchant wholesalers [417930]",3
2025-07-01 00:00:00.000,"British Columbia","200 to 499 employees","Pharmaceutical and medicine manufacturing [3254]",2
2025-07-01 00:00:00.000,"British Columbia","200 to 499 employees","Pharmaceuticals and pharmacy supplies merchant wholesalers [414510]",1
2025-07-01 00:00:00.000,"British Columbia","500 plus employees","Pharmaceutical and medicine manufacturing [3254]",2
