metric_id,metric_label,unit,2023,2024,2025,2026,source_table
real_gdp_level_2017_bil,Real GDP level (chained 2017),billions CAD,337.2,341.0,346.0,350.5,Table 2.6.1
real_gdp_growth_pct,Real GDP growth,percent,2.8,1.1,1.4,1.3,Table 2.6.1
nominal_gdp_level_bil,Nominal GDP level,billions CAD,414.5,429.1,445.4,463.5,Table 2.6.1
nominal_gdp_growth_pct,Nominal GDP growth,percent,3.6,3.5,3.8,4.1,Table 2.6.1
gdp_deflator_growth_pct,GDP deflator growth,percent,0.7,2.4,2.3,2.7,Table 2.6.1
retail_sales_millions,Retail sales,millions CAD,107766,108384,115390,118554,Table 2.6.2
retail_sales_growth_pct,Retail sales growth,percent,-0.1,0.6,6.5,2.7,Table 2.6.2
cpi_index_2002,Consumer price index (2002=100),index,151.2,155.2,158.5,161.8,Table 2.6.2
cpi_growth_pct,Consumer price index growth,percent,3.9,2.6,2.1,2.1,Table 2.6.2
housing_starts_units,Housing starts,units,50490,45828,44500,44823,Table 2.6.2
housing_starts_growth_pct,Housing starts growth,percent,8.1,-9.2,-2.9,0.7,Table 2.6.2
employment_thousands,Employment,thousands,2848,2914,2946,2966,Table 2.6.3
employment_growth_pct,Employment growth,percent,2.6,2.3,1.1,0.7,Table 2.6.3
unemployment_rate_pct,Unemployment rate,percent,5.2,5.6,6.2,6.1,Table 2.6.3
population_thousands_july1,Population at July 1,thousands,5515,5671,5698,5681,Table 2.6.3
population_growth_pct,Population growth,percent,2.9,2.8,0.5,-0.3,Table 2.6.3
net_migration_total_thousands,Net migration total,thousands,171.6,99.0,-11.4,5.7,Table 2.6.3
