Announcement ID,Date,Headline,Subtitle,Source,URL,Key Message,Target?,Action Plan?,Funding/Investment?,Policy/Regulation?,Infrastructure?,Investment Promotion?,LW Mentioned?,Note,Stream,Pillar,Theme,Primary Sector,Secondary Sectors,Region,Project ID,Ministry
ANN-LW-001,2026-01-12,Province launches workforce seat expansion,Additional seats prioritized for strategic occupations,BC Government News,https://news.gov.bc.ca,Improves supply of job-ready workers,Yes,Yes,Yes,No,No,No,Yes,Kickoff announcement,People and Skills,Strengthening Our Workforce,Skills Training,Workforce,Post-secondary,Province-wide,FP-001,Post-Secondary Education and Future Skills
ANN-LW-002,2026-02-10,Permitting support unit announced,Joint federal-provincial review coordination now active,BC Government News,https://news.gov.bc.ca,Speeds approvals for major projects,No,Yes,No,Yes,Yes,No,Yes,Operational setup phase,Project Delivery,Delivering Major Projects Faster,Permitting & Authorizations,Major Projects,Infrastructure,Province-wide,FP-003,Transportation and Transit
ANN-LW-003,2026-02-23,Investor roadshow confirmed for Q2,Sessions to target institutional and strategic investors,Trade and Invest BC,https://www.britishcolumbia.ca,Increases visibility of BC opportunities,No,No,No,No,No,Yes,Yes,Priority markets announced,Trade and Investment,Diversifying Markets,Partnerships,Targeted Sectors,Trade Services,Metro Vancouver,IP-001,Jobs Economic Development and Innovation
ANN-LW-004,2026-03-07,Strategic infrastructure readiness fund approved,Pre-construction readiness funding envelope opened,BC Government News,https://news.gov.bc.ca,Advances investment-ready projects,No,Yes,Yes,No,Yes,No,Yes,Applications open,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Infrastructure,Major Projects,Fraser Valley,FP-004,Infrastructure BC
ANN-LW-005,2026-03-22,Export readiness cohort intake opens,SME advisory and market entry supports now available,Trade and Invest BC,https://www.britishcolumbia.ca,Supports firms diversifying into Indo-Pacific markets,Yes,Yes,Yes,No,No,No,Yes,First cohort announced,Trade and Investment,Diversifying Markets,Partnerships,Trade,Targeted Sectors,Metro Vancouver,FP-005,Jobs Economic Development and Innovation
ANN-LW-006,2026-04-03,Gateway resilience initiative funded,Improvements focused on throughput and reliability,BC Government News,https://news.gov.bc.ca,Strengthens supply chain competitiveness,No,No,Yes,No,Yes,No,Yes,Delivery milestones set,Trade and Investment,Diversifying Markets,Supply Chain,Trade Logistics,Infrastructure,Lower Mainland,FP-006,Transportation and Transit
ANN-LW-007,2026-04-19,Scale-up funding stream launched,Matched funding to support growth-stage firms,BC Government News,https://news.gov.bc.ca,Accelerates growth in priority sectors,Yes,Yes,Yes,No,No,Yes,Yes,Round one approvals, Sector Growth,Growing Targeted Sectors,Investment Attraction,Targeted Sectors,Life Sciences,Vancouver Island Coast,FP-007,Jobs Economic Development and Innovation
ANN-LW-008,2026-05-01,Digitalization grants announced for manufacturers,Funding supports automation and productivity upgrades,BC Government News,https://news.gov.bc.ca,Boosts competitiveness of SMEs,No,No,Yes,No,No,No,Yes,Program guide released,Sector Growth,Growing Targeted Sectors,Tech adoption,Manufacturing,Advanced Industry,Thompson Okanagan,FP-008,Jobs Economic Development and Innovation
ANN-LW-009,2026-05-09,Kootenay servicing package approved,Utility and permitting readiness package confirmed,BC Government News,https://news.gov.bc.ca,Accelerates site readiness pipeline,No,Yes,Yes,No,Yes,No,Yes,Coordination committee formed,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Major Projects,Infrastructure,Kootenay,INF-006,Infrastructure BC
ANN-LW-010,2026-05-18,Credential recognition stream enters scoping,Cross-regulator working group initiated,BC Government News,https://news.gov.bc.ca,Reduces barriers for skilled newcomers,Yes,Yes,No,Yes,No,No,Yes,Initial consultation period,People and Skills,Strengthening Our Workforce,policy,Professional Services,Workforce,Province-wide,FP-010,Post-Secondary Education and Future Skills
ANN-LW-011,2026-05-24,Strategic projects capital forum scheduled,Institutional capital engagement planned for summer,Transportation and Transit Bulletin,https://www2.gov.bc.ca,Enhances financing pathways for major projects,No,No,No,No,No,Yes,Yes,Forum agenda published,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Major Projects,Infrastructure,Lower Mainland,IP-005,Transportation and Transit
ANN-LW-012,2026-06-06,Life sciences co-investment package announced,Matched funding for scaling domestic production,BC Government News,https://news.gov.bc.ca,Strengthens targeted sector capacity,Yes,Yes,Yes,No,No,Yes,Yes,Industry partnership stream,Sector Growth,Growing Targeted Sectors,Investment Attraction,Life Sciences,Manufacturing,Metro Vancouver,FP-012,Jobs Economic Development and Innovation
