Announcement ID,Project ID,Ministry,Announcement Type,What Changed,Next Step,Investment Attracted to BC ($M),Jobs Created,Jobs Protected,GDP Contribution ($M),Government Revenue Contribution ($M),Note
ANN-PJT-001,MP-001,Transportation and Transit,Project Milestone,Preliminary engineering package approved,Launch staged procurement for northern segments,22,38,26,19,4,Scope locked for phase one
ANN-PJT-002,MP-001,Transportation and Transit,Funding Update,Joint utility servicing envelope expanded,Finalize contractor shortlist and utility sequencing,34,42,30,27,6,Coordination table established
ANN-PJT-003,MP-002,Transportation and Transit,Policy Update,Rail and port operations protocol endorsed,Begin corridor simulation and dispatch integration,18,24,33,16,3,Supports freight reliability outcomes
ANN-PJT-004,MP-002,Transportation and Transit,Project Milestone,Intermodal operations pilot completed,Scale pilot across priority terminals,29,31,45,21,5,Early performance signals are positive
ANN-PJT-005,MP-003,Infrastructure BC,Funding Update,Site servicing pre-construction package approved,Open intake for municipal servicing partners,26,28,22,15,3,Focus on export-oriented sites
ANN-PJT-006,MP-003,Infrastructure BC,Project Milestone,Utility readiness sequencing finalized,Advance environmental and local permits,17,19,16,11,2,Readiness workflow now standardized
ANN-PJT-007,MP-004,Jobs Economic Development and Innovation,Investment Promotion,Anchor tenant interest confirmed for processing node,Complete tenant agreements and construction tendering,31,37,20,24,5,Private partners engaged in stage two
ANN-PJT-008,MP-004,Jobs Economic Development and Innovation,Project Milestone,Shared logistics platform design completed,Begin procurement for equipment installation,14,21,14,10,2,Integration with local suppliers underway
ANN-PJT-009,MP-005,Energy and Climate Solutions,Project Milestone,Transmission route engineering advanced to next gate,Start right-of-way package approvals,27,32,28,23,5,Grid readiness risk reduced
ANN-PJT-010,MP-005,Energy and Climate Solutions,Funding Update,Interconnection budget top-up approved,Issue procurement notices for substations,33,35,29,26,6,Helps de-risk delivery timeline
ANN-PJT-011,MP-006,Transportation and Transit,Technology Deployment,Freight coordination platform entered live pilot,Expand onboarding to additional operators,12,17,14,8,2,Digital adoption improving visibility
ANN-PJT-012,MP-006,Transportation and Transit,Project Milestone,Regional data-sharing protocol signed,Roll out performance dashboards for operators,9,12,10,7,1,Enables faster operational decisions
